InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
540456,48185,DOORMAT FAIRY CAKE,2,07-01-2011 12:14,7.95,13534.0,United Kingdom
566891,23013,GLASS APOTHECARY BOTTLE TONIC,4,15-09-2011 13:51,3.95,14894.0,United Kingdom
C562139,21313,GLASS HEART T-LIGHT HOLDER ,-4,03-08-2011 10:10,0.85,12921.0,United Kingdom
565438,22382,LUNCH BAG SPACEBOY DESIGN ,4,04-09-2011 13:56,1.65,17229.0,United Kingdom
566016,21212,PACK OF 72 RETROSPOT CAKE CASES,24,08-09-2011 12:20,0.55,15144.0,United Kingdom
557598,22558,CLOTHES PEGS RETROSPOT PACK 24 ,2,21-06-2011 11:33,1.65,14667.0,United Kingdom
561704,21533,RETROSPOT LARGE MILK JUG,1,29-07-2011 11:07,4.95,14606.0,United Kingdom
581001,22726,ALARM CLOCK BAKELIKE GREEN,24,07-12-2011 08:07,3.75,12583.0,France
542890,84865,NEW BAROQUE BLACK PHOTO ALBUM,2,01-02-2011 13:25,8.5,15311.0,United Kingdom
573287,21314,SMALL GLASS HEART TRINKET POT,8,28-10-2011 14:42,2.1,14194.0,United Kingdom
547909,22151,PLACE SETTING WHITE HEART,10,28-03-2011 12:22,0.42,15033.0,United Kingdom
570693,23132,SMALL IVORY HEART WALL ORGANISER,1,11-10-2011 16:50,5.75,16161.0,United Kingdom
571441,22107,PIZZA PLATE IN BOX,12,17-10-2011 13:31,3.29,14096.0,United Kingdom
556721,21129,SILVER FISHING GNOME ,7,14-06-2011 11:23,6.95,15218.0,United Kingdom
580911,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,12,06-12-2011 13:30,2.95,14503.0,United Kingdom
550001,47566,PARTY BUNTING,16,14-04-2011 09:28,4.95,17704.0,United Kingdom
550811,21669,BLUE STRIPE CERAMIC DRAWER KNOB,24,20-04-2011 16:04,1.25,16011.0,United Kingdom
578441,22082,RIBBON REEL STRIPES DESIGN ,5,24-11-2011 12:24,1.65,17133.0,United Kingdom
551439,22768,FAMILY PHOTO FRAME CORNICE,2,28-04-2011 15:26,9.95,14758.0,United Kingdom
565331,22072,RED RETROSPOT TEA CUP AND SAUCER ,1,02-09-2011 13:59,3.75,16674.0,United Kingdom
538012,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,1,09-12-2010 12:32,3.25,14527.0,United Kingdom
574154,22840,ROUND CAKE TIN VINTAGE RED,2,03-11-2011 11:32,7.95,13709.0,United Kingdom
C563918,23198,PANTRY MAGNETIC  SHOPPING LIST,-1,21-08-2011 13:47,1.45,14572.0,United Kingdom
555340,22776,SWEETHEART CAKESTAND 3 TIER,1,02-06-2011 11:33,9.95,13334.0,United Kingdom
575128,22507,MEMO BOARD RETROSPOT  DESIGN,4,08-11-2011 14:27,4.95,16837.0,United Kingdom
537868,22539,MINI JIGSAW DOLLY GIRL,24,08-12-2010 16:49,0.42,12433.0,Norway
560597,85123A,WHITE HANGING HEART T-LIGHT HOLDER,96,19-07-2011 16:54,2.55,13798.0,United Kingdom
552555,22179,SET 10 LIGHTS NIGHT OWL,12,10-05-2011 11:20,6.75,18242.0,United Kingdom
572216,23388,WOODLAND MINI BACKPACK,2,21-10-2011 12:56,4.15,16015.0,United Kingdom
563931,22624,IVORY KITCHEN SCALES,2,21-08-2011 15:49,8.5,14895.0,United Kingdom
581166,23494,VINTAGE DOILY DELUXE SEWING KIT ,1,07-12-2011 14:43,5.95,15525.0,United Kingdom
573373,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,1,30-10-2011 13:37,1.45,14684.0,United Kingdom
